Blu0_6,36
Blu1_12,2
Blu2_8,11
Blu3_7,51
Red0_3,37
Red1_1,40
Red2_14,6
Red3_12,25
Wte0_5,0
Wte1_4,55
Wte2_5,0
Wte3_4,10
Wte4_1,51
Blu0_0,0,0,0,0,X,0,0,0,0,X,1,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,0,0,0,X,1,0,0,0,X,1,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
Blu0_1,0,0,0,0,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,1,0,0,0,X,1,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,0,0,0,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
Blu0_2,0,0,0,0,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,0,0,0,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,1,0,0,0,X,1,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
Blu0_3,0,0,0,0,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,0,0,0,X,1,0,0,0,X,1,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,1,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
Blu0_4,0,0,0,0,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,0,0,0,X,1,0,0,0,X,1,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
Blu0_5,0,0,0,0,X,1,0,0,0,X,1,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,0,0,0,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,1,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
Blu0_6,0,0,1,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,1,1,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,1,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
Blu0_7,0,0,1,0,X,1,1,1,0,X,0,1,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
Blu0_8,0,1,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,1,1,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,1,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
Blu0_9,0,1,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,1,1,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,1,1,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X,X,X,X,X
